,id,assets,liabilities,buffer,weights,impaired_loans_divide_by_gross_customer_loans_advances,loan_loss_reserves_divide_by_impaired_loans,customer_loans_advances_divide_by_total_assets,net_charge_offs_divide_by_average_gross_customer_loans_advances,unreserved_impaired_loans_divide_by_equity,credit rank
13714,23715,0.041505,0.035548,26.55,27.627053,3.661165486,792.6764921,68.34,-0.38,-4.7,D+
13715,23716,0.025178,0.022683,7.64,8.687861,3.569277038,791.0380221,71.54,0.12,-4.18,D+
13716,23717,0.095539,0.084852,31.68,32.860391,1.83,29.92,68.9,0.22,8.28,D+
13717,23718,0.159363,0.148721,30.46,31.768084,3.501896656,773.5105083,52.86,0.68,-3.88,D++
13718,23719,0.052918,0.044538,17.93,19.027456,0.987,12.376,62.88,0.039,-17.33,D+
13719,23720,97.007,73.457,2037.64,2209.104,0.44,78.71,72.61,0.0,0.28,D+
13720,23721,0.00771,0.006536,54.69,55.704246,3.509770333,808.4316905,51.59,0.3,-1.21,D++
13721,23722,0.314943,0.283312,56.2,57.798255,1.92,89.88,43.46,0.31,0.85,D++
13722,23723,0.000665,0.00042,76.66,77.661085,3.551447566,959.6740741,43.69,-0.18,-12.78,D++
13723,23724,0.051285,0.045394,71.15,72.246679,3.563322775,667.5846659,35.44,0.22,-2.01,C--
13724,23725,13.406456,12.707137,34.54,61.653593,3.56,24.16,65.86,0.01,34.37,D+
13725,23726,0.007784,0.006248,26.85,27.864032,6.52,820.3064857,61.39,0.057892259,-7.6,D++
13726,23727,0.146479,0.137787,31.66,32.944266,0.191,1161.086,37.288,0.035,-6.425,C--
13727,23728,2.848352,2.493566,58.71,65.051918,2.49,104.92,66.88,0.33,-0.79,D+
13728,23729,0.010385,0.009228,97.1,98.119613,3.57654833,674.6656983,17.11,-0.21,-1.04,C-
13729,23730,245.217453,217.917123,146.09,610.224576,3.77,46.68,51.51,0.37,9.47,D++
13730,23731,0.026819,0.024134,47.13,48.180953,3.5055355,875.6255488,57.25,0.31,-3.28,D++
13731,23732,0.093695,0.076281,75.59,76.759976,3.542517868,700.9664309,38.65,0.9,-3.85,C--
13732,23733,0.040873,0.03683,65.7,66.777703,3.463891998,1341.00102,40.44,1.99,-16.75,C--
13733,23734,0.007141,0.006324,32.25,33.263465,3.499093264,793.7922467,69.86,0.52,-2.43,D+
13734,23735,0.003575,0.002884,54.28,55.286459,3.576204087,671.2395873,26.15,-0.33,-1.35,C--
