id,impaired_loans_divide_by_gross_customer_loans_advances,loan_loss_reserves_divide_by_impaired_loans,customer_loans_advances_divide_by_total_assets,net_charge_offs_divide_by_average_gross_customer_loans_advances,unreserved_impaired_loans_divide_by_equity,credit rank
20543,3.591273448,698.6248806,53.388,0.257525407,10.15112384,C
20544,3.616523301,1095.666264,55.64,0.04,-2.74,C
20545,3.597053039,789.4986358,25.06,0.28,-4.87,C+
20546,0.576,37.794,71.13,0.04,-30.96,C-
20547,0.16,862.82,60.2,-0.02,-9.16,C-
20548,3.534783726,796.7443341,49.39,0.2,-5.65,C
20549,3.556047283,630.2446194,31.45,0,-0.71,C+
20550,2.19,36.18,51.63,0.005,17.94,C
20551,1.73,2011.431,15.6,0.28950134,-1.24,C++
20552,8.167,34.278,73.96,-1.322,19.268,C-
20553,3.50079174,808.575694,54.84,0.42,-2.18,C
20554,3.547137557,813.7754415,67.56,0.25,-6.92,C-
20555,3.588903934,721.9335115,37.46,-0.01,-1.38,C+
20556,3.561863083,674.4903773,34.12,0.24,-1.62,C+
20557,3.536165698,770.439239,63.05,0.12,-2.92,C-
20558,0.53,184.64,54.41,0.09,-1.92,C
20559,5.79,84.46,60.38,0.6,5.23,C-
20560,0.36,474.45,79.56,0.29,-8.49,C--
20561,3.608867871,930.5484729,56.29,0.02,-1.09,C
20562,3.582972109,680.4963826,15.69,0.17,-1.4,C++
20563,0.57,205.45,72.95,-0.02,-10.46,C-
20564,3.623501909,875.4419959,42.23,0.04,-0.74,C
20565,3.592265228,708.104171,83.58,0.29,-8.58,C--
20566,0.01,15900,54.71,0.02,-4.9,C
20567,3.578976196,729.0646605,62.47,0.58,-26.67,C-
20568,3.613824191,663.9774868,41.56,0.48,-10.5,C
20569,3.540969821,735.8558612,76.9,0.48,-0.62,C-
20570,6.528,13.478,34.484,-0.004,35.562,C+
20571,3.514127597,1100.540655,75,1.37,-18.89,C-
20572,0.17,833.85,56.53,0.14,-5.19,C
20573,7.95,99.05,52.97,0.25,0.41,C
20574,3.455,2665.982,53.18,0.258,6.181,C
20575,3.11,23.99,49.97,0.01,9.13,C
20576,0.03,4486.67,60.46,0.09,-6.76,C-
20577,5.24,56.66,80.85,-0.84,30.31,C--
20578,1.08,163.04,49.48,-0.04,-3.48,C
20579,0,452.717,31.21,0,-4.26,C+
20580,3.731865161,878.2755662,0.411,0.270831386,-0.008,C++
20581,0,4502.956,53.96,0,-2.63,C
20582,8.42,25.431,46.623,0.015,27.42,C
20583,3.53832397,812.1689562,70.79,0.33,-6.37,C-
20584,0.901,45.803,29.979,0.329,1.243,C+
20585,3.554564188,810.8034793,75.78,0.93,-12.92,C-
20586,3.561997145,770.455619,58.27,0.17,-4.44,C
20587,3.568176595,619.1403547,32.02,0,-6.68,C+
20588,3.575723372,679.4288017,39.67,0.14,-1.06,C
20589,3.514686348,814.6675815,64.46,0.31,-3.24,C-
20590,0.05,5481.32,39.22,0,-9.03,C+
20591,3.570787447,751.6661041,39.43,0,-1.94,C
20592,0.59,78.6,61.84,0.12,0.68,C-
20593,3.540739879,846.940315,52.36,1.17,-2.11,C
20594,3.571025847,741.1489217,51.1,0.42,-8.66,C
20595,3.47,109.72,62.74,0.008,-1.94,C-
20596,16.02,118.67,75.16,14.49,-20.74,C-
20597,3.529798388,738.5873188,72.4,0.16,-3.8,C-
20598,3.497467348,767.7234416,40.24,0.28,-2.93,C
20599,3.607997574,818.571167,51.88,0,-5.22,C
20600,3.626272813,702.7895506,69.51,0.13,-9.41,C-
20601,1.82,66.24,58.98,0.12,2.55,C
20602,3.613791803,1057.917591,48.98,0.04,-1.78,C
20603,3.18,201.6,61.48,0.272229861,-30.02,C-
20604,3.31,104.76,50.95,0.02,-0.68,C
20605,0.67,194.25,76.06,0,-4.61,C-
20606,1.34,115.09,75.79,0.5,-1.38,C-
20607,0.53,149.68,75.16,0,-2.33,C-
20608,0,548.5513343,7.38,0.266774367,-0.196,C++
20609,0,421.326,68.57,0,-8.09,C-
20610,2.09,46.83,70.68,0.16,13.29,C-
20611,0.14,644.74,77.67,0,-6.7,C-
20612,3.59255306,643.0292431,29.97,0.4,-2.82,C+
20613,3.529430645,805.8071924,14.55,1.39,-0.69,C++
20614,3.53403716,759.5003333,53.21,0.3,-4.43,C
20615,0.46,193.28,76.77,0.16,-3.71,C-
20616,1.95,53.99,82.51,0.36,7.05,C--
20617,3.504496541,809.3286528,51.22,0.32,-1.58,C
20618,0.49,258.79,78,0.43,-4.92,C-
20619,3.577620799,860.0389529,33.37,0.255256522,-3.08,C+
20620,0,887.588,56.86,0.06,-13.85,C
20621,3.43,45.66,79.23,0.05,11.15,C--
20622,1.51,102.7,36.9,0.14,-0.12,C+
20623,3.506824931,712.2964955,43.69,0.31,-3.3,C
20624,2.86,27.22,75.07,0.06,16.71,C-
20625,1.23,116.48,38.7,-0.02,-0.61,C+
20626,3.615965312,861.9910016,47.02,0,-0.72,C
20627,0.05,2421.26,73.44,0.01,-8.57,C-
